No.,Alloys,¦¤Hsss£¬MPa,E,K,G,¦Í,Rm,Ri,Rc,Vm,Hs,Hc,VEC,e/a,Ew,Xp,Xa,Xm,Xr,Ec,¦ÄE,¦ÄK,¦ÄG,¦Ä¦Í,¦ÄRm,¦ÄRi,¦ÄRc,¦ÄVm,¦ÄHs,¦ÄHc,¦ÄVEC,¦Äe/a,¦ÄEw,¦ÄXp,¦ÄXa,¦ÄXm,¦ÄXr,¦ÄEc,¦¤E,¦¤K,¦¤G,¦¤¦Í,¦¤Rm,¦¤Ri,¦¤Rc,¦¤Vm,¦¤Hs,¦¤Hc,¦¤VEC,¦¤e/a,¦¤ew,¦¤Xp,¦¤Xa,¦¤Xm,¦¤Xr,¦¤Ec
1,CrCuFeNi,734,205,158.775,80.175,0.2875,128.95,69,116.5,7.005,3.8375,5.5275,8.75,1.5,4.7,1.8,1.795,1.6275,1.675,4.0775,0.257684,0.088295,0.296573,0.16749,0.032981,0.226616,0.009597,0.035048,0.084628,0.049419,0.219461,0.333333,0.056793,0.068041,0.049281,0.207885,0.047854,0.088262,0.033314,4.35E-03,4.80E-02,1.81E-02,7.27E-04,3.57E-02,3.68E-05,8.41E-04,3.90E-03,1.22E-03,2.29E-02,0.00E+00,2.26E-03,2.31E-03,1.63E-03,2.81E-02,1.07E-03,5.18E-03
2,Co5(CrCuFeNi)95,745,205.2,159.9113,80.26625,0.288625,128.7625,68.65,116.475,6.98825,3.840625,5.530125,8.7625,1.525,4.715,1.805,1.79725,1.632125,1.67625,4.093125,0.25095,0.090888,0.288778,0.163498,0.032813,0.223113,0.009403,0.035801,0.082494,0.048189,0.21369,0.327459,0.056895,0.067228,0.048282,0.202424,0.046721,0.087299,0.031879,0.004541,0.045225,0.017619,0.000737,0.037227,3.99E-05,0.000721,0.003864,0.001239,0.023569,0.023297,0.001976,0.003062,0.001594,0.027051,0.001132,5.16E-03
3,Co10(CrCuFeNi)90,765,205.4,161.0475,80.3575,0.28975,128.575,68.3,116.45,6.9715,3.84375,5.53275,8.775,1.55,4.73,1.81,1.7995,1.63675,1.6775,4.10875,0.244054,0.0928,0.280798,0.159373,0.032577,0.219356,0.009199,0.036387,0.080303,0.046925,0.207782,0.320964,0.056818,0.066298,0.047235,0.196834,0.045551,0.086171,0.030289,0.004679,0.04253,0.017045,0.000742,0.036158,3.84E-05,0.000609,0.003691,0.001185,0.022436,0.019901,0.00171,0.003022,0.001553,0.025941,1.09E-03,0.005102
4,Co15(CrCuFeNi)85,825,205.6,162.1838,80.44875,0.290875,128.3875,67.95,116.425,6.95475,3.846875,5.535375,8.7875,1.575,4.745,1.815,1.80175,1.641375,1.67875,4.124375,0.236981,0.094097,0.272617,0.155106,0.032272,0.215323,0.008985,0.036811,0.078049,0.045623,0.201726,0.313869,0.056564,0.065249,0.046135,0.191102,0.044341,0.084876,0.02869,0.004765,0.03987,0.016426,0.000743,0.035061,3.69E-05,0.000504,0.003517,0.00113,0.021295,0.0174,0.001463,0.002967,0.001507,0.024792,0.001039,0.00502
5,Co2CrCuFeNi,923,206.3333,166.35,80.78333,0.295,127.7,66.66667,116.3333,6.893333,3.858333,5.545,8.833333,1.666667,4.8,1.833333,1.81,1.658333,1.683333,4.181667,0.209238,0.094244,0.240563,0.138043,0.030514,0.1978,0.008104,0.03702,0.069148,0.04047,0.178,0.282843,0.054127,0.060302,0.04159,0.168644,0.039505,0.078606,0.022755,0.004666,0.030426,0.013789,0.000704,0.03145,3.28E-05,0.000262,0.002854,0.00092,0.017029,0.02,0.000723,0.002645,0.001297,0.020262,0.000862,0.004496
6,CoCuFeNi,846,187.5,164.15,71.85,0.3125,126.25,69,116,6.865,3.975,5.64,9.5,1.75,4.825,1.875,1.8425,1.5575,1.71,4.15,0.178428,0.104876,0.19107,0.057131,0.010882,0.226616,0.006096,0.034494,0.04219,0.026977,0.117688,0.247436,0.054095,0.023094,0.01553,0.178185,0.026478,0.092873,0.0224,0.006282,0.025796,0.00192,2.54E-05,0.035707,0,0.000199,0.000712,0.000318,0.00554,0.040816,0.000805,0.000356,0.000133,0.022194,0.00041,0.006078
7,CrFeMnNi,810,222,154.325,87.95,0.26375,129.6,60,116.5,7.065,3.6875,5.375,7.75,1.75,4.5625,1.7,1.77,1.8675,1.6375,3.935,0.149906,0.136326,0.180721,0.147682,0.032609,0.020412,0.009597,0.040944,0.068722,0.041215,0.190841,0.247436,0.082511,0.093008,0.0471,0.083762,0.043263,0.152027,0.015867,0.01203,0.022615,0.009119,0.0006,0.000208,3.68E-05,0.001127,0.002344,0.000945,0.020812,0.040816,0.004098,0.002595,0.001117,0.001968,0.001179,0.016194
8,Cr5(CoCuFeNi)95,817,192.075,163.9425,74.0225,0.307375,126.7375,68.65,116.1,6.88325,3.94375,5.6145,9.325,1.7125,4.80875,1.86125,1.832875,1.579625,1.7025,4.1475,0.198998,0.102499,0.221455,0.092126,0.019818,0.223113,0.007024,0.035467,0.053953,0.033009,0.142646,0.26429,0.054916,0.039384,0.027486,0.181799,0.032259,0.090614,0.024402,0.00601,0.028287,0.005001,0.000261,0.037227,2.11E-05,0.000304,0.001104,0.000374,0.007374,0.034418,0.00099,0.000882,0.000494,0.022982,0.00035,0.005962
9,Cr10(CoCuFeNi)90,846,196.65,163.735,76.195,0.30225,127.225,68.3,116.2,6.9015,3.9125,5.589,9.15,1.675,4.7925,1.8475,1.82325,1.60175,1.695,4.145,0.213385,0.100036,0.241832,0.116149,0.02517,0.219356,0.007745,0.036212,0.062851,0.037635,0.163113,0.279627,0.055528,0.049884,0.034999,0.184083,0.036702,0.088287,0.025781,0.005593,0.029939,0.009167,0.000475,0.036158,2.33E-05,0.000291,0.002065,0.000674,0.011791,0.028069,0.001053,0.001646,0.000884,0.023465,0.000632,0.005607
10,Cr15(CoCuFeNi)85,856,201.225,163.5275,78.3675,0.297125,127.7125,67.95,116.3,6.91975,3.88125,5.5635,8.975,1.6375,4.77625,1.83375,1.813625,1.623875,1.6875,4.1425,0.223289,0.097482,0.255496,0.135064,0.029008,0.215323,0.008314,0.036745,0.069951,0.041318,0.180501,0.293571,0.055935,0.057805,0.040595,0.185185,0.040241,0.085888,0.026615,0.00519,0.033121,0.012775,0.000632,0.035061,3.06E-05,0.000354,0.002805,0.000909,0.01648,0.021794,0.001153,0.002365,0.001209,0.023666,0.000845,0.005256
11,Cr2CoCuFeNi,891,218,162.7667,86.33333,0.278333,129.5,66.66667,116.6667,6.986667,3.766667,5.47,8.333333,1.5,4.716667,1.783333,1.778333,1.705,1.66,4.133333,0.2342,0.087191,0.270453,0.181329,0.036534,0.1978,0.009476,0.037045,0.086255,0.049473,0.226274,0.333333,0.055647,0.075348,0.052692,0.18064,0.048067,0.076349,0.026986,0.003873,0.037105,0.019799,0.000811,0.03145,4.22E-05,0.000501,0.004076,0.001279,0.025867,0.018519,0.001373,0.003508,0.001711,0.022383,0.001185,0.004016
