Melting point,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21
6.5,0.093819484,0,0,0,0.184104169,0.710048208,0.012028139,0,0.064899087,3.202072735,2.770009138,6.295046815,2.136340975,0.532469018,5.320217677,350.0237394,0.545234202,4115.16098,82.56936285,0.545682831,1.477079503,0.525750707
10.7,0,0,0,0,0.139626856,0.721313877,0.139059267,0,0.034659948,4.251533403,2.566481682,9.65071313,1.981310746,0.514766734,5.499679587,374.9657248,0.548418506,4095.302596,75.41720852,0.523620143,1.44382196,0.51513225
11,0.115319282,0,0,0,0.15812274,0.726557978,0,0,0.068429856,3.115319282,2.802199768,6.711582212,2.140354252,0.520174596,5.392246553,346.3760829,0.527666173,4185.919072,82.50300687,0.533534977,1.475294618,0.512180406
15.7,0,0,0,0,0.17032967,0.82967033,0,0,0.037592216,3,2.760604396,0,2.061120879,0.378718531,5.193131869,324.6318681,0.379965683,3891.104895,77.40435713,0.384832855,1.453923077,0.376719281
15.7,0,0,0,0,0.032224532,0.967775468,0,0,0.01765959,3,2.800654886,0,1.968590436,0.176914582,5.51491684,307.0925156,0.177066229,4056.561654,71.17622972,0.177697906,1.419120582,0.176682709
18.8,0.077791719,0,0,0,0,0.857381849,0.064826432,0,0.05356871,3.661229607,2.741024677,9.026432427,1.978350063,0.376256336,5.814688414,343.9962357,0.401768283,4374.412171,73.25289001,0.382049231,1.426389795,0.375868512
20.55,0.088225993,0,0,0,0,0.911774007,0,0,0.056724657,3.088225993,2.839114578,5.134752793,2.013875303,0.285234808,5.72057447,320.8216506,0.288110214,4317.663214,74.04492672,0.28857315,1.429703911,0.283874001
24.6,0,0,0,0.012987013,0,0.935064935,0.051948052,0,0.011321815,3.584415585,2.712727273,4.267532472,1.927428571,0.251524884,5.688311688,327.0389611,0.265007538,4168.339643,70.0522987,0.252939061,1.412155844,0.251809966
25,0,0,0,0,0,0.963875479,0.036124521,0,0,3.325120689,2.757258199,2.507041757,1.931610954,0.186757889,5.65105044,317.0885632,0.191451306,4140.59074,69.56647245,0.186612549,1.410385883,0.186600418
40,0.145492811,0.177430257,0.330665479,0.110221826,0.236189628,0,0,0,0.09101458,4.976250463,2.260936773,22.2153005,2.95619977,0.767991971,6.961725305,527.0247793,0.776259117,5139.89505,162.6469114,0.768087857,1.674380271,0.773305304
59.73,0.162332714,0.148475043,0.399312398,0,0.289879846,0,0,0,0.087815201,4.109432556,2.412127299,16.24792092,3.060966093,0.711943219,7.159370681,513.0857997,0.717522832,5232.897026,166.7668542,0.714927445,1.684198581,0.715323405
60,0.278813242,0.152112488,0.477359388,0,0,0,0,0.091714882,0.044841545,5.211078444,2.286354367,23.19368263,3.11700829,0.671165373,8.117032246,513.365082,0.671102953,6759.784846,182.7712806,0.681032015,1.674489215,0.677831915
60,0.187246516,0,0.222180057,0,0.590573427,0,0,0,0.082282429,3.63160663,2.560551621,10.89774723,2.838105526,0.604171743,5.670864861,469.3720152,0.605220646,4384.637328,136.4688631,0.614343135,1.663730801,0.597463483
68,0.176341421,0.215050513,0.424919086,0.18368898,0,0,0,0,0.078451678,5.894430926,2.129667428,29.48052218,3.0266597,0.709995863,8.088354323,558.5650128,0.718727312,5967.167092,174.9402089,0.708538636,1.672927291,0.716530374
69,0.196817056,0.231074877,0.370117988,0.201990078,0,0,0,0,0.0802384,5.986038608,2.12825326,32.339476,2.976015482,0.728882236,7.829989313,559.5949062,0.734899198,5867.823107,171.296031,0.728055818,1.669736139,0.733335768
72,0.217277252,0.256691876,0.306773229,0.219257644,0,0,0,0,0.081501164,6.060834385,2.126439586,35.58416383,2.921990191,0.743195006,7.517915213,561.1205068,0.745840277,5741.090248,167.7359797,0.742933467,1.667162238,0.745048514
72,0,0,0.230815465,0,0.769184535,0,0,0,0.084270917,3.46163093,2.441522742,0,2.829581043,0.425298797,5.023430153,456.312963,0.423682671,3732.312555,136.5535842,0.438778743,1.671540172,0.421372911
72.14,0.189681237,0.2321882,0.429570697,0.148559866,0,0,0,0,0.073955765,5.618049625,2.175734694,29.25022072,3.055880224,0.704664155,8.090975327,557.2651525,0.714568997,5998.201493,177.097902,0.702849405,1.677394052,0.711960254
75,0.125670353,0.210727726,0.211974089,0.451627831,0,0,0,0,0.093460844,7.824996733,1.80837399,39.99836378,2.697540622,0.717463539,7.103025446,573.6917276,0.700493796,5335.74639,153.6473937,0.721302098,1.641244894,0.705784494
80.7,0.222786443,0,0.446069381,0,0.331144176,0,0,0,0.087407423,4.114925205,2.506464005,12.96617098,3.047435107,0.645490857,7.516786419,497.5608927,0.647477171,5499.339532,157.6885322,0.647756107,1.670593109,0.647003135
81,0.205973893,0,0.411064757,0,0.38296135,0,0,0,0.089063815,4.028103407,2.507941796,11.98768057,3.013716344,0.646153268,7.185295276,492.3094243,0.648219956,5259.637268,154.327096,0.650000004,1.66997044,0.646023827
82,0,0.412051357,0.473356841,0.114591802,0,0,0,0,0.063705736,5.390091257,2.001308658,24.71613405,3.170585144,0.595023492,7.874944127,573.2165174,0.604575242,5495.322954,197.1805329,0.591715908,1.70547645,0.600865192
91,0,0.401374547,0.467013598,0.131611855,0,0,0,0,0.06761366,5.519908438,1.985549726,25.09515886,3.152240302,0.604982536,7.863375661,573.4589419,0.614631305,5488.770038,195.5559281,0.601844211,1.702695962,0.610902861
92,0.292341394,0.267385422,0.440273184,0,0,0,0,0,0.045483833,4.440273184,2.420539925,29.26052146,3.159717366,0.652083905,8.151955241,547.8396547,0.654978913,6260.271225,182.1143963,0.654802116,1.690858984,0.654163185
92.97,0,0.382177789,0.484646245,0.133175967,0,0,0,0,0.067952963,5.550053985,1.986833847,24.29571705,3.1597351,0.603912118,7.973245424,572.4429329,0.613965053,5545.543845,195.4390538,0.601053577,1.701529664,0.610091396
93,0.355293381,0.216642305,0.428064314,0,0,0,0,0,0.047860213,4.428064314,2.4885853,30.60029234,3.132852892,0.648262853,8.219874713,542.4921695,0.650931836,6439.972556,176.5220432,0.656049044,1.683474525,0.649313659
96,0.232597571,0.292805754,0.474596676,0,0,0,0,0,0.04224878,4.47459668,2.359372807,26.94768217,3.196672127,0.640062882,8.225964272,551.6186233,0.64356155,6171.831206,187.4622232,0.639004175,1.696730276,0.643290774
96,0.252991029,0.17241139,0.55134473,0,0,0,0,0.023252852,0.043472585,4.73736755,2.361897875,22.62051955,3.211948151,0.620480376,8.681084478,536.7524155,0.623914811,6621.388376,185.6405163,0.625804903,1.68618715,0.6261182
100,0.26349619,0.288842083,0.447661728,0,0,0,0,0,0.044052917,4.447661732,2.389630032,28.56444566,3.172931267,0.649631751,8.131761318,550.1876479,0.652574166,6185.552313,184.6800602,0.650201871,1.694152899,0.652120808
100,0.317948239,0.246744753,0.435307008,0,0,0,0,0,0.046567924,4.435307008,2.448218596,29.8054972,3.148789761,0.65189258,8.179582699,545.6644696,0.654737262,6332.856918,179.8396068,0.65664922,1.687855223,0.653584681
100,0.524304753,0.15984901,0.315846237,0,0,0,0,0,0.049940893,4.315846237,2.659355211,37.83562128,3.02069024,0.620946973,7.918432325,532.6635082,0.620442848,6646.177511,161.3664787,0.639623079,1.667620985,0.617787582
105,0.218982297,0.262447244,0.518570459,0,0,0,0,0,0.041355659,4.518570459,2.350855919,24.76485346,3.223314336,0.625245455,8.462994087,550.4191833,0.629795313,6277.573579,188.745312,0.624385697,1.696260725,0.629300425
117,0.474959612,0,0,0,0.525040388,0,0,0,0.049937259,3.474959612,2.814474959,27.64264942,2.658796446,0.499440789,5.069596122,465.6219709,0.500985454,4646.617325,116.6675929,0.499441802,1.644001616,0.499409444
124,0.453890501,0.276762501,0.269346998,0,0,0,0,0,0.049786937,4.269346998,2.574220506,39.0921497,3.020420912,0.656012586,7.47611575,542.073733,0.6538973,6227.525252,167.5146672,0.668817009,1.678888556,0.652329928
124,0,0.447995633,0.552004367,0,0,0,0,0,0,4.552004367,2.112800655,20.51819999,3.312210201,0.498709864,8.171706595,569.5357511,0.4979037,5654.181192,208.1825678,0.497292687,1.722399782,0.497340006
132,0.390573826,0.365737685,0.243688489,0,0,0,0,0,0.048787899,4.243688489,2.50009022,39.48218265,3.02832021,0.661125634,7.176759745,549.6146688,0.65768615,5923.851472,173.0718876,0.668050576,1.6882127,0.657330114
138,0.545881616,0,0.454118384,0,0,0,0,0,0.049789043,4.454118384,2.704046351,31.77031005,3.083280614,0.502374616,8.809273411,522.710617,0.498233849,7256.313856,159.7032665,0.517231309,1.657967116,0.498023516
139,0.713467049,0,0.286532951,0,0,0,0,0,0.045214137,4.286532951,2.864928367,41.52378225,2.943681948,0.455827193,8.167421202,516.1747851,0.452405126,7256.313856,144.5753295,0.469813378,1.645063037,0.452242613
152,0.407936576,0.396300518,0.195762906,0,0,0,0,0,0.049145124,4.195762906,2.512174035,41.89247245,2.998453371,0.648765576,6.924132759,550.6796031,0.644052145,5822.431847,171.4501504,0.656598572,1.68840391,0.643837408
164,0.563841285,0.320364366,0.115794349,0,0,0,0,0,0.049590754,4.115794349,2.673232979,47.48825075,2.906856569,0.595632635,6.78946889,540.2709587,0.590939527,6077.130501,157.5117986,0.613715207,1.672602439,0.589388639
166,0.771182915,0,0.228817085,0,0,0,0,0,0.042007122,4.228817085,2.920335598,44.88284565,2.895604632,0.423127357,7.946369436,513.9238663,0.420284599,7256.313856,139.3653183,0.435343101,1.640618916,0.420152849
183,0.73631699,0.26368301,0,0,0,0,0,0,0.044062941,4,2.847311859,54.93033068,2.79175171,0.441223072,6.474076397,530.313569,0.442028931,6273.239977,142.0433096,0.456929054,1.656487742,0.440880775
198,0.858490566,0,0,0,0,0,0.141509434,0,0.069709257,5.132075472,2.886698113,59.78490566,2.53745283,0.353125756,7.099716981,531.6037736,0.35118414,6980.732321,111.164717,0.353383492,1.59059434,0.348984848
198,0.854614168,0,0.017353746,0,0,0,0.128032085,0,0.068738593,5.041610422,2.894162969,58.62397128,2.567865679,0.366587113,7.163351578,529.7468276,0.367183323,7006.596893,113.4498518,0.368312821,1.595016889,0.363635144
20.2,0.151180404,0,0,0.028632652,0,0.820186944,0,0,0.072373863,3.408874272,2.812645658,10.25896476,2.067235379,0.408285123,5.836939446,341.8705433,0.42214914,4500.865633,78.3511451,0.419564658,1.447545572,0.405135656
48.3,0.112133632,0.186175439,0.363795424,0.074586879,0.263308627,0,0,0,0.091809063,4.697181833,2.27316829,18.85694332,3.004278912,0.745294875,6.989400911,523.9509494,0.754679478,5072.86367,166.5303843,0.745609882,1.681086597,0.751069453
60.42,0.177044489,0,0.226878178,0,0.596077334,0,0,0,0.082864196,3.630800848,2.552629005,10.30398926,2.84153472,0.600378611,5.667888786,469.1424494,0.601560573,4363.206865,136.8715524,0.610541503,1.664312715,0.593780125
70,0.185131935,0.23445414,0.424653883,0.155760042,0,0,0,0,0.074933896,5.670734219,2.163683294,29.45644037,3.048490713,0.706991247,8.062198787,557.9317426,0.716556956,5972.357835,176.8092204,0.705035992,1.676907222,0.714081353
79,0.218318287,0,0.4409689,0,0.340712813,0,0,0,0.087842497,4.100256087,2.505427912,12.7061243,3.042344366,0.645539329,7.460795069,496.6443261,0.647574441,5454.403522,157.1908898,0.64805722,1.670583118,0.646781834
100,0.155012982,0.378080445,0.466906573,0,0,0,0,0,0.036191706,4.466906573,2.272100396,26.33783993,3.218321642,0.620043262,8.003790369,559.5050791,0.62227506,5882.717535,194.3139949,0.614371473,1.706968023,0.622987865
112,0.292027804,0.356131468,0.351840728,0,0,0,0,0,0.045469502,4.351840728,2.406926972,33.30683943,3.115250579,0.664434599,7.612692871,552.9104093,0.664234942,5956.03112,181.9847361,0.664989167,1.695320432,0.664346946
130,0.514029323,0,0.433518706,0,0.052451972,0,0,0,0.058374551,4.381066738,2.691301823,29.9165066,3.061505311,0.555830893,8.530534638,517.9733321,0.551834492,6950.422926,157.6396955,0.565715211,1.658479021,0.554859986
142,0.579644499,0.209319882,0,0.211035619,0,0,0,0,0.064834602,5.688284952,2.489804405,54.08497701,2.655475259,0.603025864,6.455543202,543.8768788,0.610131042,5917.64111,135.903403,0.618144718,1.637976666,0.604622964
175,0.75558055,0.155736287,0,0,0,0,0.088683163,0,0.07141436,4.709465304,2.80838986,57.26212147,2.651236373,0.474044355,6.736659456,536.6231182,0.488634453,6499.556047,127.7625178,0.484661802,1.622470064,0.478060383
180.9,0.041942084,0.958057916,0,0,0,0,0,0,0.020045684,4,2.076555713,46.32008184,3.020201054,0.200504628,4.90478911,596.9735599,0.200560967,4200.163744,203.488545,0.201217026,1.744673355,0.200478182
200,0.869109948,0,0.130890052,0,0,0,0,0,0.033728007,4.130890052,3.01434555,50.58219897,2.814031413,0.338956928,7.571308899,510.104712,0.33739219,7256.313856,130.525445,0.34633423,1.633078534,0.337322717
