,structure,bandgap,A_r_atom,B_r_atom,X_r_atom,A_r_ion,B_r_ion,X_r_ion,A_ie,B_ie,X_ie,A_ea,B_ea,X_ea,A_x,B_x,X_x,A_N,B_N,X_N,A_M,B_M,X_M,HOMO,LUMO,gap_AO,bond_mean,bond_var,bond_cv,delta_X_bx_bond_mean,delta_X_bx_bond_var,ratio_X_bx_bond_mean,ratio_X_bx_bond_var,delta_ea_bx_bond_mean,delta_ea_bx_bond_var,ratio_ea_bx_bond_mean,ratio_ea_bx_bond_var,delta_X_bx_bond_cv,ratio_X_bx_bond_cv,delta_ea_bx_bond_cv,ratio_ea_bx_bond_cv,(B_x - X_x),(B_x / X_x),(B_x - X_x)/(B_r_ion + X_r_ion),(B_x / X_x)/(B_r_ion + X_r_ion),(B_x/B_r_ion),(X_x/X_r_ion),(B_x/B_r_ion)+(X_x/X_r_ion),(B_x/B_r_ion)-(X_x/X_r_ion),(B_x/B_r_ion)*(X_x/X_r_ion),(B_x/B_r_ion)/(X_x/X_r_ion),(B_ea - X_ea),(B_ea / X_ea),(B_ea - X_ea)/(B_r_ion + X_r_ion),(B_ea / X_ea)/(B_r_ion + X_r_ion),(B_ea/B_r_ion),(X_ea/X_r_ion),(B_ea/B_r_ion)+(X_ea/X_r_ion),(B_ea/B_r_ion)-(X_ea/X_r_ion),(B_ea/B_r_ion)*(X_ea/X_r_ion),(B_ea/B_r_ion)/(X_ea/X_r_ion),(B_r_ion + X_r_ion),(B_r_ion / X_r_ion),(A_r_ion + X_r_ion)/(1.414*(B_r_ion + X_r_ion)),log(bond_var),log(bond_cv),log(delta_X_bx_bond_var),log(delta_ea_bx_bond_var),log(ratio_X_bx_bond_var),log(ratio_ea_bx_bond_var),log(delta_X_bx_bond_cv),log(ratio_X_bx_bond_cv),log(delta_ea_bx_bond_cv),log(ratio_ea_bx_bond_cv)
0,Cs_Ba_Br_Br_Br_POSCAR,4.1177,2.6,2.15,1.15,1.81,1.49,0.8825,3.893905727,5.2116646,11.81381,0.47163025,0.144626,3.3635883,0.79,0.89,2.96,55,56,35,132.9054519,137.327,79.904,-0.295334,-0.118967,0.176367,3.108379951,1.37E-12,4.4E-13,0.665941755,6.28E-14,0.09673067,1.32E-15,1.035575557,1.52E-13,0.013832779,2.71E-17,9.43E-14,1.37E-14,1.47E-13,1.96E-15,-2.07,0.300675676,-0.872497366,0.126733688,0.597315436,3.354107649,3.951423085,-2.756792212,2.003460273,0.178084754,-3.2189623,0.042997533,-1.356780738,0.018123302,0.09706443,3.811431501,3.908495931,-3.714367072,0.369954424,0.02546666,2.3725,1.688385269,0.802601711,-27.31621038,-28.45200167,-30.39882132,-29.51489587,-34.26114466,-38.14699795,-29.99229521,-31.92138056,-29.54834381,-33.86583192
1,K_Sr_Cl_Cl_Br_POSCAR,4.2593,2.2,2,1.05,1.52,1.32,0.814166667,4.34066373,5.69486745,12.58302533,0.50145913,0.052066,3.52967962,0.82,0.95,3.093333333,19,38,23,39.0983,87.62,50.27,-0.295334,-0.131793,0.163541,2.829935263,0.00422437,0.001492745,0.758525574,0.002492589,0.10860568,0.000000766,1.230443428,0.004712204,0.005217062,3.26E-09,0.003286097,0.00000705,0.00382968,0.000000624,-2.143333333,0.307112069,-1.004295197,0.14390257,0.71969697,3.799385873,4.519082843,-3.079688903,2.7344065,0.189424553,-3.47761362,0.014750914,-1.629494863,0.006911791,0.039443939,4.335328088,4.374772028,-4.295884149,0.171002418,0.009098259,2.134166667,1.621289662,0.773488963,-5.466885142,-6.507138572,-5.99443335,-5.35759954,-14.08208367,-19.54153864,-5.718054741,-11.86248294,-5.56497403,-14.28711547
2,K_Ca_Cl_Cl_F_POSCAR,5.661,2.2,1.8,0.833333333,1.52,1.14,0.755,4.34066373,6.11315547,14.45269533,0.50145913,0.024551,3.542213461,0.82,1,3.433333333,19,20,14.33333333,39.0983,40.078,29.9681344,-0.32038,-0.141411,0.178969,2.410177226,0.034137216,0.014163779,1.029000815,0.06399821,0.122007,0.0000129,1.46525447,0.005627677,0.002902776,0.000000104,0.062194519,0.000105878,0.00384075,0.0000359,-2.433333333,0.291262136,-1.284080915,0.153700336,0.877192982,4.547461368,5.424654351,-3.670268386,3.9890012,0.192897292,-3.517662461,0.006930977,-1.856286259,0.003657508,0.021535965,4.691673458,4.713209423,-4.670137493,0.101039715,0.004590252,1.895,1.509933775,0.849029494,-3.377367112,-4.257067348,-2.748900165,-5.180058533,-11.25828325,-16.07887494,-2.777488402,-9.15322307,-5.562087619,-10.23477326
3,Rb_Pb_I_I_Cl_POSCAR,1.2997,2.35,1.8,1.266666667,1.66,1.1225,1.108888889,4.1771281,7.4166799,11.290051,0.48591621,0.3567212,3.243610013,0.82,2.33,2.826666667,37,82,41,85.4678,207.2,96.42064667,-0.267904,-0.141831,0.126073,3.010603777,0.021365611,0.007096786,0.169322052,0.008025866,0.275186636,0.0000746,0.965622901,0.019134186,0.036703825,0.00000111,0.047400004,0.000271122,0.019815381,0.0000302,-0.496666667,0.824292453,-0.22258185,0.369407797,2.075723831,2.549098196,4.624822027,-0.473374366,5.291223873,0.81429732,-2.886888813,0.1099766,-1.293763193,0.049286164,0.317791715,2.92509921,3.242890925,-2.607307495,0.929572294,0.108643055,2.231388889,1.012274549,0.87756815,-3.845972612,-4.948113273,-4.825085703,-3.956278701,-9.503370051,-13.71115054,-3.049132966,-8.212941654,-3.921296825,-10.40766863
4,Rb_Ba_Cl_Br_I_POSCAR,3.7418,2.35,2.15,1.183333333,1.66,1.49,0.978611111,4.1771281,5.2116646,11.74423433,0.48591621,0.144626,3.345121987,0.82,0.89,2.926666667,37,56,35,85.4678,137.327,80.75382333,-0.267904,-0.118967,0.148937,3.082401716,0.018163174,0.00589254,0.664889813,0.009011046,0.099035967,0.00000755,1.043476915,0.013997244,0.014076457,0.00000012,0.01355269,0.0000762,0.013414043,0.00000853,-2.036666667,0.304100228,-0.825025318,0.123186769,0.597315436,2.990632984,3.58794842,-2.393317548,1.786351245,0.199728766,-3.200495987,0.043234896,-1.296476376,0.017513854,0.09706443,3.418234219,3.515298649,-3.32116979,0.331788954,0.028396073,2.468611111,1.522565995,0.755915583,-4.008359141,-5.134068135,-4.709304121,-4.268894826,-11.79396299,-15.93577409,-4.301170227,-9.482149095,-4.311453136,-11.6719212
5,Rb_Ge_Cl_Cl_Cl_POSCAR,0.8408,2.35,1.25,1,1.66,0.77,0.78,4.1771281,7.899435,12.967633,0.48591621,1.232676413,3.61272528,0.82,2.01,3.16,37,32,17,85.4678,72.64,35.453,-0.32038,-0.149882,0.170498,2.625855935,2.97E-08,1.13E-08,0.437952437,8.26E-10,0.242235663,2.53E-10,0.90638974,3.54E-09,0.129940117,7.27E-11,1.89E-09,1.04E-09,3.9E-09,5.6E-10,-1.15,0.636075949,-0.741935484,0.41037158,2.61038961,4.051282051,6.661671662,-1.440892441,10.57542458,0.644336676,-2.380048867,0.341204027,-1.535515398,0.22013163,1.600878458,4.631699077,6.232577535,-3.030820618,7.414787278,0.345635248,1.55,0.987179487,1.113291053,-17.33211879,-18.29846311,-20.91442634,-19.45913911,-22.09763163,-23.34467973,-20.08668901,-20.68404512,-19.36228928,-21.30308433
6,K_Sn_Br_Br_Br_POSCAR,0.4488,2.2,1.45,1.15,1.52,0.83,0.8825,4.34066373,7.343918,11.81381,0.50145913,1.1120702,3.3635883,0.82,1.96,2.96,19,50,35,39.0983,118.71,79.904,-0.295334,-0.14445,0.150884,2.903035399,0.00000041,0.000000141,0.344467053,5.78E-09,0.228093049,2.53E-09,0.775573805,2.93E-08,0.113887762,6.32E-10,1.68E-08,1.11E-08,3.78E-08,5.55E-09,-1,0.662162162,-0.583941606,0.386664036,2.361445783,3.354107649,5.715553432,-0.992661866,7.920543363,0.704045913,-2.2515181,0.330620189,-1.314755095,0.193062884,1.339843614,3.811431501,5.151275116,-2.471587887,5.106722159,0.351532912,1.7125,0.940509915,0.992163867,-14.70710868,-15.77450595,-18.96886215,-17.34567832,-19.79504653,-21.18213172,-17.90188695,-18.31632073,-17.09095673,-19.00946791
7,Rb_Ca_Br_Br_F_POSCAR,4.939,2.35,1.8,0.933333333,1.66,1.14,0.823333333,4.1771281,6.11315547,13.68348,0.48591621,0.024551,3.376122141,0.82,1,3.3,37,20,26.33333333,85.4678,40.078,59.6021344,-0.295334,-0.141411,0.153923,2.482269103,0.049599155,0.019981377,0.9533219,0.088895845,0.123964044,0.0000323,1.3626001,0.019087635,0.002953556,7.11E-08,0.093248509,0.000260345,0.014008244,0.0000241,-2.3,0.303030303,-1.17147708,0.154344806,0.877192982,4.008097168,4.88529015,-3.130904185,3.515874708,0.218855219,-3.351571141,0.007271953,-1.707082076,0.003703881,0.021535965,4.100553209,4.122089174,-4.079017244,0.08830937,0.005251966,1.963333333,1.384615385,0.894523117,-3.003781482,-3.912954589,-2.420289875,-3.958714536,-10.34044333,-16.4591785,-2.37248721,-8.253502883,-4.268109266,-10.63329872
8,K_Zn_Cl_Br_I_POSCAR,0.0623,2.2,1.35,1.183333333,1.52,0.88,0.978611111,4.34066373,9.394197,11.74423433,0.50145913,-0.62,3.345121987,0.82,1.65,2.926666667,19,30,35,39.0983,65.409,80.75382333,-0.267904,-0.222725,0.045179,2.67908742,0.030831722,0.011508292,0.483592951,0.011651342,0.211442681,0.00000898,1.492009415,0.033424539,0.069495167,0.00000043,0.024093284,0.0000424,0.022402365,0.00000618,-1.276666667,0.563781321,-0.686892841,0.303334742,1.875,2.990632984,4.865632984,-1.115632984,5.607436845,0.626957574,-3.965121987,-0.185344511,-2.13337904,-0.099722051,-0.704545455,3.418234219,2.713688765,-4.122779674,-2.408301382,-0.206113862,1.858611111,0.899233608,0.950737728,-3.479211184,-4.46468746,-4.452333912,-3.398464948,-11.62051068,-14.65948063,-3.72582215,-10.0683622,-3.798588745,-11.99419229
9,Rb_Sr_I_I_Cl_POSCAR,3.5549,2.35,2,1.266666667,1.66,1.32,1.108888889,4.1771281,5.69486745,11.290051,0.48591621,0.052066,3.243610013,0.82,0.95,2.826666667,37,38,41,85.4678,87.62,96.42064667,-0.267904,-0.131793,0.136111,3.110851558,0.045793248,0.014720486,0.611786089,0.015345695,0.108671699,0.00000131,1.037164389,0.026629196,0.005188995,1.62E-09,0.025083433,0.000012,0.025675,0.000000313,-1.876666667,0.336084906,-0.772644099,0.138369815,0.71969697,2.549098196,3.268795166,-1.829401227,1.834578247,0.282333953,-3.191544013,0.016051868,-1.313993418,0.006608729,0.039443939,2.92509921,2.964543149,-2.88565527,0.115377436,0.01348465,2.428888889,1.190380761,0.806210539,-3.083618622,-4.21851515,-4.1769203,-3.625747071,-13.54548342,-20.24083969,-3.685547691,-11.33060391,-3.662237523,-14.97706265
